id;documento
17;Neurologistas brasileiros publicaram estudo sobre o uso de estimulação cerebral não invasiva no tratamento da depressão resistente. A técnica utiliza pulsos magnéticos para modular a atividade de regiões específicas do cérebro. Pacientes submetidos ao protocolo apresentaram melhora significativa nos índices de qualidade de vida.
18;Uma plataforma digital desenvolvida por pesquisadores da UFRJ permite monitorar em tempo real a qualidade da água em rios urbanos. Sensores instalados em pontos estratégicos enviam dados continuamente para um servidor central. O sistema já está em operação na bacia do rio Paraíba do Sul, no estado do Rio de Janeiro.
19;O telescópio espacial James Webb capturou as imagens mais detalhadas já obtidas de uma nebulosa em formação estelar. As fotografias revelam estruturas nunca observadas anteriormente em nuvens de gás e poeira cósmica. Astrônomos da NASA afirmam que os dados podem reescrever modelos sobre a origem das estrelas.
20;Aplicativos de saúde mental cresceram 120% em downloads no Brasil após a pandemia de Covid-19. Plataformas de telepsicologia e meditação guiada lideram o ranking das ferramentas mais baixadas. Especialistas ressaltam que os aplicativos são complementos e não substitutos do acompanhamento profissional presencial.
21;A CAPES anunciou abertura de 5.000 novas bolsas de pesquisa em áreas de ciência e tecnologia para 2024. O edital prioritiza projetos com potencial de aplicação industrial e impacto social mensurável. Universidades federais de todas as regiões do país poderão submeter propostas até março do próximo ano.
22;Cientistas identificaram microplásticos em amostras de sangue humano coletadas em seis capitais brasileiras. A pesquisa, inédita no país, detectou partículas de polietileno e poliestireno nos exames laboratoriais. Os pesquisadores alertam para necessidade de políticas urgentes de redução do uso de plástico descartável.
23;O Brasil assumiu a presidência do G20 com agenda focada em transição energética e redução das desigualdades digitais. O país propõe criação de um fundo global para financiar acesso à internet em nações em desenvolvimento. A iniciativa brasileira recebeu apoio inicial de mais de 30 países membros do bloco.
24;Pesquisadores da Universidade Federal de Minas Gerais mapearam o genoma de uma bactéria encontrada em solos do Pantanal. O micro-organismo demonstrou capacidade de decompor pesticidas organoclorados com alta eficiência. A descoberta abre perspectivas para biorremediação de áreas contaminadas por agroquímicos.
25;O uso de drones na agricultura de precisão aumentou a produtividade em fazendas do Centro-Oeste em até 22%. Os equipamentos são utilizados para pulverização de defensivos, mapeamento de lavouras e monitoramento de pragas. O custo das operações com drones é 60% menor em comparação às técnicas convencionais de aplicação aérea.
26;Estudo coordenado pelo Instituto Butantan revelou mecanismo pelo qual o veneno da cascavel brasileira destrói células tumorais. A pesquisa identificou uma proteína presente no veneno com ação seletiva sobre células cancerígenas. O achado poderá ser base para desenvolvimento de novos agentes quimioterápicos nacionais.
27;A Agência Espacial Brasileira firmou parceria com a ESA para desenvolvimento conjunto de nanosatélites educacionais. Os equipamentos serão fabricados por equipes de estudantes de engenharia de universidades brasileiras. O primeiro lançamento está previsto para 2025, a bordo de um foguete Vega da agência europeia.
28;Pesquisadores da USP desenvolveram um algoritmo capaz de detectar precocemente sinais de Alzheimer em exames de imagem. O sistema de inteligência artificial analisa padrões de atrofia cerebral em ressonâncias magnéticas com precisão de 91%. O diagnóstico precoce pode ampliar significativamente a eficácia dos tratamentos disponíveis.
29;A produção de hidrogênio verde no Brasil deve movimentar R$ 50 bilhões em investimentos até 2030 segundo projeções do setor. O país possui condições climáticas favoráveis para geração de eletricidade renovável necessária ao processo de eletrólise. Complexos industriais no Ceará e Rio Grande do Norte já receberam licenças ambientais para início das obras.
30;Cientistas brasileiros e canadenses desenvolveram uma prótese de mão biónica controlada por sinais musculares residuais. O dispositivo usa sensores de eletromiografia para captar impulsos elétricos dos músculos do antebraço. Testes com 12 pacientes amputados mostraram que 90% conseguiram realizar atividades cotidianas com o equipamento em até duas semanas.
